MD	GR	RHOB	PHIE	DTCO	PHI_ALT	DTS	WELL
2387.2698							Well_10
2387.4698							Well_10
2387.6698							Well_10
2387.8698							Well_10
2388.0698							Well_10
2388.2698							Well_10
2388.4698							Well_10
2388.6698							Well_10
2388.8698							Well_10
2389.0698							Well_10
2389.2698							Well_10
2389.4698							Well_10
2389.6698							Well_10
2389.8698							Well_10
2390.0698							Well_10
2390.2698							Well_10
2390.4698							Well_10
2390.6698							Well_10
2390.8698							Well_10
2391.0698							Well_10
2391.2698							Well_10
2391.4698							Well_10
2391.6698							Well_10
2391.8698							Well_10
2392.0698							Well_10
2392.2698							Well_10
2392.4698							Well_10
2392.6698							Well_10
2392.8698							Well_10
2393.0698							Well_10
2393.2698							Well_10
2393.4698							Well_10
2393.6698							Well_10
2393.8698							Well_10
2394.0698							Well_10
2394.2698							Well_10
2394.4698							Well_10
2394.6698							Well_10
2394.8698							Well_10
2395.0698							Well_10
2395.2698							Well_10
2395.4698							Well_10
2395.6698							Well_10
2395.8698							Well_10
2396.0698							Well_10
2396.2698							Well_10
2396.4698							Well_10
2396.6698							Well_10
2396.8698							Well_10
2397.0698							Well_10
2397.2698							Well_10
2397.4698							Well_10
2397.6698							Well_10
2397.8698							Well_10
2398.0698							Well_10
2398.2698							Well_10
2398.4698							Well_10
2398.6698							Well_10
2398.8698							Well_10
2399.0698							Well_10
2399.2698							Well_10
2399.4698							Well_10
2399.6698							Well_10
2399.8698							Well_10
2400.0698							Well_10
2400.2698							Well_10
2400.4698							Well_10
2400.6698							Well_10
2400.8698							Well_10
2401.0698							Well_10
2401.2698							Well_10
2401.4698							Well_10
2401.6698							Well_10
2401.8698							Well_10
2402.0698							Well_10
2402.2698							Well_10
2402.4698							Well_10
2402.6698							Well_10
2402.8698							Well_10
2403.0698							Well_10
2403.2698							Well_10
2403.4698							Well_10
2403.6698							Well_10
2403.8698							Well_10
2404.0698							Well_10
2404.2698							Well_10
2404.4698							Well_10
2404.6698							Well_10
2404.8698							Well_10
2405.0698							Well_10
2405.2698							Well_10
2405.4698							Well_10
2405.6698							Well_10
2405.8698							Well_10
2406.0698							Well_10
2406.2698							Well_10
2406.4698							Well_10
2406.6698							Well_10
2406.8698							Well_10
2407.0698							Well_10
2407.2698							Well_10
2407.4698							Well_10
2407.6698							Well_10
2407.8698							Well_10
2408.0698							Well_10
2408.2698							Well_10
2408.4698							Well_10
2408.6698							Well_10
2408.8698							Well_10
2409.0698							Well_10
2409.2698							Well_10
2409.4698							Well_10
2409.6698							Well_10
2409.8698							Well_10
2410.0698							Well_10
2410.2698							Well_10
2410.4698							Well_10
