MD	GR	PHIE	PHI_ALT	DTCO	RHOB	DTS	WELL
3851.605						159.33680725	Well_11
3851.805							Well_11
3852.005							Well_11
3852.205							Well_11
3852.405							Well_11
3852.605							Well_11
3852.805							Well_11
3853.005							Well_11
3853.205							Well_11
3853.405							Well_11
3853.605							Well_11
3853.805							Well_11
3854.005							Well_11
3854.205							Well_11
3854.405							Well_11
3854.605						142.06719971	Well_11
3854.805						130.91398621	Well_11
3855.005						124.47699738	Well_11
3855.205						122.39369965	Well_11
3855.405						121.30999756	Well_11
3855.605						120.6108017	Well_11
3855.805						120.59420013	Well_11
3856.005						120.94930267	Well_11
3856.205						120.96080017	Well_11
3856.405						120.60540009	Well_11
3856.605						119.87249756	Well_11
3856.805						118.3993988	Well_11
3857.005						118.92980194	Well_11
3857.205						119.97679901	Well_11
3857.405						121.40190125	Well_11
3857.605						121.28250122	Well_11
3857.805						120.18270111	Well_11
3858.005						119.92642212	Well_11
3858.205						119.4890976	Well_11
3858.405						119.75650024	Well_11
3858.605						119.97509766	Well_11
3858.805						120.16130066	Well_11
3859.005						120.08869934	Well_11
3859.205						119.92739868	Well_11
3859.405						119.22389984	Well_11
3859.605						119.17250061	Well_11
3859.805						119.03869629	Well_11
3860.005						118.93840027	Well_11
3860.205						119.02500153	Well_11
3860.405						119.08879852	Well_11
3860.605						119.1006012	Well_11
3860.805						119.02130127	Well_11
3861.005						118.96679688	Well_11
3861.205						119.00409698	Well_11
3861.405						119.01959991	Well_11
3861.605						119.08129883	Well_11
3861.805						119.1257019	Well_11
3862.005						119.31330109	Well_11
3862.205						119.41429901	Well_11
3862.405						119.53859711	Well_11
3862.605						119.5102005	Well_11
3862.805						119.44219971	Well_11
3863.005						119.50610352	Well_11
3863.205						119.26679993	Well_11
3863.405						119.04100037	Well_11
3863.605						118.89759827	Well_11
3863.805						118.93710327	Well_11
3864.005						119.0644989	Well_11
3864.205						119.26390076	Well_11
3864.405						119.43049622	Well_11
3864.605						119.36239624	Well_11
3864.805						119.26260376	Well_11
3865.005						119.14360046	Well_11
3865.205						118.89920044	Well_11
3865.405						118.90859985	Well_11
3865.605						118.9937973	Well_11
3865.805						119.16719818	Well_11
