MD	PHIE	GR	DTCO	RHOB	PHI_ALT	DTS	WELL
2365.0955							Well_2
2365.2955							Well_2
2365.4955							Well_2
2365.6955							Well_2
2365.8955							Well_2
2366.0955							Well_2
2366.2955							Well_2
2366.4955							Well_2
2366.6955							Well_2
2366.8955							Well_2
2367.0955							Well_2
2367.2955							Well_2
2367.4955							Well_2
2367.6955							Well_2
2367.8955							Well_2
2368.0955							Well_2
2368.2955							Well_2
2368.4955							Well_2
2368.6955							Well_2
2368.8955							Well_2
2369.0955							Well_2
2369.2955							Well_2
2369.4955							Well_2
2369.6955							Well_2
2369.8955							Well_2
2370.0955							Well_2
2370.2955							Well_2
2370.4955							Well_2
2370.6955							Well_2
2370.8955							Well_2
2371.0955							Well_2
2371.2955							Well_2
2371.4955							Well_2
2371.6955							Well_2
2371.8955							Well_2
2372.0955							Well_2
2372.2955							Well_2
2372.4955							Well_2
2372.6955							Well_2
2372.8955							Well_2
2373.0955							Well_2
2373.2955							Well_2
2373.4955							Well_2
2373.6955							Well_2
2373.8955							Well_2
2374.0955							Well_2
2374.2955							Well_2
2374.4955							Well_2
2374.6955							Well_2
2374.8955							Well_2
2375.0955							Well_2
2375.2955							Well_2
2375.4955							Well_2
2375.6955							Well_2
2375.8955							Well_2
2376.0955							Well_2
2376.2955							Well_2
2376.4955							Well_2
2376.6955							Well_2
2376.8955							Well_2
2377.0955							Well_2
2377.2955							Well_2
2377.4955							Well_2
2377.6955							Well_2
2377.8955							Well_2
2378.0955							Well_2
2378.2955							Well_2
2378.4955							Well_2
2378.6955							Well_2
2378.8955							Well_2
2379.0955							Well_2
2379.2955							Well_2
2379.4955							Well_2
2379.6955							Well_2
2379.8955							Well_2
2380.0955							Well_2
2380.2955							Well_2
2380.4955							Well_2
2380.6955							Well_2
2380.8955							Well_2
2381.0955							Well_2
2381.2955							Well_2
2381.4955							Well_2
2381.6955							Well_2
2381.8955							Well_2
2382.0955							Well_2
2382.2955							Well_2
2382.4955							Well_2
