MD	PHIE	DTCO	GR	RHOB	PHI_ALT	DTS	WELL
2225.0908							Well_3
2225.2908							Well_3
2225.4908							Well_3
2225.6908							Well_3
2225.8908							Well_3
2226.0908							Well_3
2226.2908							Well_3
2226.4908							Well_3
2226.6908							Well_3
2226.8908							Well_3
2227.0908							Well_3
2227.2908							Well_3
2227.4908							Well_3
2227.6908							Well_3
2227.8908							Well_3
2228.0908							Well_3
2228.2908							Well_3
2228.4908							Well_3
2228.6908							Well_3
2228.8908							Well_3
2229.0908							Well_3
2229.2908							Well_3
2229.4908							Well_3
2229.6908							Well_3
2229.8908							Well_3
2230.0908							Well_3
2230.2908							Well_3
2230.4908							Well_3
2230.6908							Well_3
2230.8908							Well_3
2231.0908							Well_3
2231.2908							Well_3
2231.4908							Well_3
2231.6908							Well_3
2231.8908							Well_3
2232.0908							Well_3
2232.2908							Well_3
2232.4908							Well_3
2232.6908							Well_3
2232.8908							Well_3
2233.0908							Well_3
2233.2908							Well_3
2233.4908							Well_3
2233.6908							Well_3
2233.8908							Well_3
2234.0908							Well_3
2234.2908							Well_3
2234.4908							Well_3
2234.6908							Well_3
2234.8908							Well_3
2235.0908							Well_3
2235.2908							Well_3
2235.4908							Well_3
2235.6908							Well_3
2235.8908							Well_3
2236.0908							Well_3
2236.2908							Well_3
2236.4908							Well_3
2236.6908							Well_3
2236.8908							Well_3
2237.0908							Well_3
2237.2908							Well_3
2237.4908							Well_3
2237.6908							Well_3
2237.8908							Well_3
2238.0908							Well_3
2238.2908							Well_3
2238.4908							Well_3
2238.6908							Well_3
2238.8908							Well_3
2239.0908							Well_3
2239.2908							Well_3
2239.4908							Well_3
2239.6908							Well_3
2239.8908							Well_3
2240.0908							Well_3
2240.2908							Well_3
2240.4908							Well_3
2240.6908							Well_3
2240.8908							Well_3
2241.0908							Well_3
2241.2908							Well_3
2241.4908							Well_3
2241.6908							Well_3
2241.8908							Well_3
2242.0908							Well_3
2242.2908							Well_3
2242.4908							Well_3
2242.6908							Well_3
2242.8908							Well_3
2243.0908							Well_3
2243.2908							Well_3
2243.4908							Well_3
2243.6908							Well_3
2243.8908							Well_3
2244.0908							Well_3
2244.2908							Well_3
2244.4908							Well_3
2244.6908							Well_3
2244.8908							Well_3
2245.0908							Well_3
