MD	PHIE	GR	RHOB	DTCO	PHI_ALT	DTS	WELL
3199.9936							Well_4
3200.1936						216.85350037	Well_4
3200.3936						221.94099426	Well_4
3200.5936						228.45759583	Well_4
3200.7936						232.38450623	Well_4
3200.9936						233.8927002	Well_4
3201.1936						234.76750183	Well_4
3201.3936						227.57710266	Well_4
3201.5936						220.5348053	Well_4
3201.7936						215.47259521	Well_4
3201.9936						212.34910583	Well_4
3202.1936						212.86869812	Well_4
3202.3936						214.7519989	Well_4
3202.5936						216.10299683	Well_4
3202.7936						215.69439697	Well_4
3202.9936						219.16589355	Well_4
3203.1936						224.59010315	Well_4
3203.3936						226.65640259	Well_4
3203.5936						233.90420532	Well_4
3203.7936						238.14450073	Well_4
3203.9936						245.01589966	Well_4
3204.1936						249.58039856	Well_4
3204.3936						260.03201294	Well_4
3204.5936						263.81680298	Well_4
3204.7936						257.55200195	Well_4
3204.9936						236.46060181	Well_4
3205.1936						233.35740662	Well_4
3205.3936						220.01780701	Well_4
3205.5936						207.95339966	Well_4
3205.7936						208.92610168	Well_4
3205.9936						209.71549988	Well_4
3206.1936						216.06719971	Well_4
3206.3936						223.33439636	Well_4
3206.5936						227.07040405	Well_4
3206.7936						228.3914032	Well_4
3206.9936						230.88659668	Well_4
3207.1936						235.54730225	Well_4
3207.3936						238.66099548	Well_4
3207.5936						238.99719238	Well_4
3207.7936						236.5684967	Well_4
3207.9936						237.81390381	Well_4
3208.1936						241.21479797	Well_4
3208.3936						243.47079468	Well_4
3208.5936						239.16340637	Well_4
3208.7936						230.68490601	Well_4
3208.9936						228.32519531	Well_4
3209.1936						221.20930481	Well_4
3209.3936						218.11729431	Well_4
3209.5936						211.08270264	Well_4
3209.7936						202.90840149	Well_4
3209.9936						199.11929321	Well_4
3210.1936						194.95249939	Well_4
3210.3936						191.15600586	Well_4
3210.5936						190.71350098	Well_4
3210.7936						193.01269531	Well_4
3210.9936						195.62519836	Well_4
3211.1936						205.10139465	Well_4
3211.3936						212.77229309	Well_4
3211.5936						221.91169739	Well_4
3211.7936						222.81430054	Well_4
3211.9936						225.59269714	Well_4
3212.1936						223.21670532	Well_4
3212.3936						220.07929993	Well_4
3212.5936						218.63769531	Well_4
3212.7936						218.80490112	Well_4
3212.9936						217.55870056	Well_4
3213.1936						216.37359619	Well_4
3213.3936						214.90649414	Well_4
3213.5936						212.91029358	Well_4
3213.7936						206.65429688	Well_4
3213.9936						205.15449524	Well_4
3214.1936						204.24429321	Well_4
3214.3936						203.23890686	Well_4
3214.5936						203.02859497	Well_4
3214.7936						203.56599426	Well_4
3214.9936						205.17630005	Well_4
3215.1936						206.75860596	Well_4
3215.3936						207.47059631	Well_4
3215.5936						208.43539429	Well_4
3215.7936						209.19670105	Well_4
3215.9936						209.36480713	Well_4
3216.1936						209.67120361	Well_4
3216.3936						209.12489319	Well_4
3216.5936						208.26179504	Well_4
3216.7936						208.41720581	Well_4
3216.9936						209.07989502	Well_4
3217.1936						209.18499756	Well_4
3217.3936						208.73170471	Well_4
3217.5936						208.2118988	Well_4
3217.7936						207.26170349	Well_4
3217.9936						206.30830383	Well_4
3218.1936						205.58050537	Well_4
3218.3936						204.67990112	Well_4
3218.5936						203.44340515	Well_4
3218.7936						203.3480072	Well_4
3218.9936						202.41870117	Well_4
3219.1936						202.0552063	Well_4
3219.3936						202.48390198	Well_4
3219.5936						202.53390503	Well_4
3219.7936						202.32589722	Well_4
3219.9936						203.19619751	Well_4
3220.1936						204.51249695	Well_4
3220.3936						205.55290222	Well_4
3220.5936						207.50340271	Well_4
3220.7936						208.52819824	Well_4
3220.9936						208.6421051	Well_4
3221.1936						208.34339905	Well_4
3221.3936						208.65600586	Well_4
3221.5936						208.54519653	Well_4
3221.7936						209.01690674	Well_4
3221.9936						210.42640686	Well_4
3222.1936						210.40559387	Well_4
3222.3936						210.15690613	Well_4
3222.5936						210.12269592	Well_4
3222.7936						209.05880737	Well_4
3222.9936						209.08859253	Well_4
3223.1936						209.56329346	Well_4
3223.3936						212.57640076	Well_4
3223.5936						215.62219238	Well_4
3223.7936						221.04910278	Well_4
3223.9936						223.46859741	Well_4
3224.1936						225.11180115	Well_4
3224.3936						227.09570313	Well_4
3224.5936						228.92010498	Well_4
