MD	GR	PHIE	PHI_ALT	DTS	DTCO	RHOB	WELL
2224.8877							Well_5
2225.0877							Well_5
2225.2877							Well_5
2225.4877							Well_5
2225.6877							Well_5
2225.8877							Well_5
2226.0877							Well_5
2226.2877							Well_5
2226.4877							Well_5
2226.6877							Well_5
2226.8877							Well_5
2227.0877							Well_5
2227.2877							Well_5
2227.4877							Well_5
2227.6877							Well_5
2227.8877							Well_5
2228.0877							Well_5
2228.2877							Well_5
2228.4877							Well_5
2228.6877							Well_5
2228.8877							Well_5
2229.0877							Well_5
2229.2877							Well_5
2229.4877							Well_5
2229.6877							Well_5
2229.8877							Well_5
2230.0877							Well_5
2230.2877							Well_5
2230.4877							Well_5
2230.6877							Well_5
2230.8877							Well_5
2231.0877							Well_5
2231.2877							Well_5
2231.4877							Well_5
2231.6877							Well_5
2231.8877							Well_5
2232.0877							Well_5
2232.2877							Well_5
2232.4877							Well_5
2232.6877							Well_5
2232.8877							Well_5
2233.0877							Well_5
2233.2877							Well_5
2233.4877							Well_5
2233.6877							Well_5
2233.8877							Well_5
2234.0877							Well_5
2234.2877							Well_5
2234.4877							Well_5
2234.6877							Well_5
2234.8877							Well_5
2235.0877							Well_5
2235.2877							Well_5
2235.4877							Well_5
2235.6877							Well_5
2235.8877							Well_5
2236.0877							Well_5
2236.2877							Well_5
2236.4877							Well_5
2236.6877							Well_5
2236.8877							Well_5
2237.0877							Well_5
2237.2877							Well_5
2237.4877							Well_5
2237.6877							Well_5
2237.8877							Well_5
2238.0877							Well_5
2238.2877							Well_5
2238.4877							Well_5
2238.6877							Well_5
2238.8877							Well_5
2239.0877							Well_5
2239.2877							Well_5
2239.4877							Well_5
2239.6877							Well_5
2239.8877							Well_5
2240.0877							Well_5
2240.2877							Well_5
2240.4877							Well_5
2240.6877							Well_5
2240.8877							Well_5
2241.0877							Well_5
2241.2877							Well_5
2241.4877							Well_5
2241.6877							Well_5
2241.8877							Well_5
2242.0877							Well_5
2242.2877							Well_5
2242.4877							Well_5
2242.6877							Well_5
2242.8877							Well_5
2243.0877							Well_5
2243.2877							Well_5
2243.4877							Well_5
2243.6877							Well_5
2243.8877							Well_5
2244.0877							Well_5
2244.2877							Well_5
2244.4877							Well_5
2244.6877							Well_5
2244.8877							Well_5
2245.0877							Well_5
2245.2877							Well_5
2245.4877							Well_5
2245.6877							Well_5
2245.8877							Well_5
2246.0877							Well_5
2246.2877							Well_5
2246.4877							Well_5
2246.6877							Well_5
2246.8877							Well_5
2247.0877							Well_5
2247.2877							Well_5
2247.4877							Well_5
2247.6877							Well_5
2247.8877							Well_5
2248.0877							Well_5
2248.2877							Well_5
2248.4877							Well_5
2248.6877							Well_5
2248.8877							Well_5
2249.0877							Well_5
2249.2877							Well_5
2249.4877							Well_5
2249.6877							Well_5
2249.8877							Well_5
2250.0877							Well_5
2250.2877							Well_5
2250.4877							Well_5
2250.6877							Well_5
2250.8877							Well_5
2251.0877							Well_5
2251.2877							Well_5
2251.4877							Well_5
2251.6877							Well_5
2251.8877							Well_5
2252.0877							Well_5
2252.2877							Well_5
2252.4877							Well_5
2252.6877							Well_5
2252.8877							Well_5
2253.0877							Well_5
2253.2877							Well_5
2253.4877							Well_5
2253.6877							Well_5
2253.8877							Well_5
2254.0877							Well_5
2254.2877							Well_5
2254.4877							Well_5
2254.6877							Well_5
2254.8877							Well_5
2255.0877							Well_5
2255.2877							Well_5
2255.4877							Well_5
2255.6877							Well_5
2255.8877							Well_5
2256.0877							Well_5
2256.2877							Well_5
2256.4877							Well_5
2256.6877							Well_5
2256.8877							Well_5
2257.0877							Well_5
2257.2877							Well_5
2257.4877							Well_5
2257.6877							Well_5
2257.8877							Well_5
2258.0877							Well_5
2258.2877							Well_5
2258.4877							Well_5
2258.6877							Well_5
2258.8877							Well_5
2259.0877							Well_5
2259.2877							Well_5
2259.4877							Well_5
2259.6877							Well_5
2259.8877							Well_5
2260.0877							Well_5
2260.2877							Well_5
2260.4877							Well_5
2260.6877							Well_5
2260.8877							Well_5
2261.0877							Well_5
2261.2877							Well_5
2261.4877							Well_5
2261.6877							Well_5
2261.8877							Well_5
2262.0877							Well_5
2262.2877							Well_5
2262.4877							Well_5
2262.6877							Well_5
2262.8877							Well_5
2263.0877							Well_5
2263.2877							Well_5
2263.4877							Well_5
