MD	GR	RHOB	PHIE	DTCO	DTS	WELL
5300.0148						Well_6
5300.2148						Well_6
5300.4148						Well_6
5300.6148						Well_6
5300.8148						Well_6
5301.0148						Well_6
5301.2148						Well_6
5301.4148						Well_6
5301.6148						Well_6
5301.8148						Well_6
5302.0148						Well_6
5302.2148						Well_6
5302.4148						Well_6
5302.6148						Well_6
5302.8148						Well_6
5303.0148						Well_6
5303.2148						Well_6
5303.4148						Well_6
5303.6148						Well_6
5303.8148						Well_6
5304.0148						Well_6
5304.2148						Well_6
5304.4148						Well_6
5304.6148						Well_6
5304.8148						Well_6
5305.0148						Well_6
5305.2148						Well_6
5305.4148						Well_6
5305.6148						Well_6
5305.8148						Well_6
5306.0148						Well_6
5306.2148						Well_6
5306.4148						Well_6
5306.6148						Well_6
5306.8148						Well_6
5307.0148						Well_6
5307.2148						Well_6
5307.4148						Well_6
5307.6148						Well_6
5307.8148						Well_6
5308.0148						Well_6
5308.2148						Well_6
5308.4148						Well_6
5308.6148						Well_6
5308.8148						Well_6
5309.0148						Well_6
5309.2148						Well_6
5309.4148						Well_6
5309.6148						Well_6
5309.8148						Well_6
5310.0148						Well_6
5310.2148						Well_6
5310.4148						Well_6
5310.6148						Well_6
5310.8148						Well_6
5311.0148						Well_6
5311.2148						Well_6
5311.4148						Well_6
5311.6148						Well_6
5311.8148						Well_6
5312.0148						Well_6
5312.2148						Well_6
5312.4148						Well_6
5312.6148						Well_6
5312.8148						Well_6
5313.0148						Well_6
5313.2148						Well_6
5313.4148						Well_6
5313.6148						Well_6
5313.8148						Well_6
5314.0148						Well_6
5314.2148						Well_6
5314.4148						Well_6
5314.6148						Well_6
5314.8148						Well_6
5315.0148						Well_6
5315.2148						Well_6
5315.4148						Well_6
5315.6148						Well_6
5315.8148						Well_6
5316.0148						Well_6
5316.2148						Well_6
5316.4148						Well_6
5316.6148						Well_6
5316.8148						Well_6
5317.0148						Well_6
5317.2148						Well_6
5317.4148						Well_6
5317.6148						Well_6
5317.8148						Well_6
5318.0148						Well_6
5318.2148						Well_6
5318.4148						Well_6
5318.6148						Well_6
5318.8148						Well_6
5319.0148						Well_6
5319.2148						Well_6
5319.4148						Well_6
5319.6148						Well_6
5319.8148						Well_6
5320.0148						Well_6
5320.2148						Well_6
5320.4148						Well_6
5320.6148						Well_6
5320.8148						Well_6
5321.0148						Well_6
5321.2148						Well_6
5321.4148						Well_6
5321.6148						Well_6
5321.8148						Well_6
5322.0148						Well_6
5322.2148						Well_6
5322.4148						Well_6
5322.6148						Well_6
5322.8148						Well_6
5323.0148						Well_6
5323.2148						Well_6
5323.4148						Well_6
5323.6148						Well_6
5323.8148						Well_6
5324.0148						Well_6
5324.2148						Well_6
5324.4148						Well_6
5324.6148						Well_6
5324.8148						Well_6
5325.0148						Well_6
5325.2148						Well_6
5325.4148						Well_6
5325.6148						Well_6
5325.8148						Well_6
5326.0148						Well_6
5326.2148						Well_6
5326.4148						Well_6
5326.6148						Well_6
5326.8148						Well_6
5327.0148						Well_6
5327.2148						Well_6
5327.4148						Well_6
5327.6148						Well_6
5327.8148						Well_6
5328.0148						Well_6
5328.2148						Well_6
5328.4148						Well_6
5328.6148						Well_6
5328.8148						Well_6
5329.0148						Well_6
5329.2148						Well_6
5329.4148						Well_6
5329.6148						Well_6
5329.8148					119.34867096	Well_6
5330.0148					119.33752441	Well_6
5330.2148					119.32363892	Well_6
5330.4148					119.31534576	Well_6
5330.6148					119.30919647	Well_6
5330.8148					119.30645752	Well_6
5331.0148					119.30390167	Well_6
5331.2148					119.31489563	Well_6
5331.4148					119.34553528	Well_6
5331.6148					119.3658905	Well_6
5331.8148					119.35348511	Well_6
5332.0148					119.33454132	Well_6
5332.2148					119.33297729	Well_6
5332.4148					119.34268188	Well_6
5332.6148					119.33805084	Well_6
5332.8148					119.34301758	Well_6
5333.0148					119.34052277	Well_6
5333.2148					119.32875061	Well_6
5333.4148					119.32343292	Well_6
5333.6148					119.32679749	Well_6
5333.8148					119.32401276	Well_6
5334.0148					119.32511902	Well_6
5334.2148					119.34175873	Well_6
5334.4148					119.37392426	Well_6
5334.6148					119.47692871	Well_6
5334.8148					119.81539154	Well_6
5335.0148					120.23612213	Well_6
5335.2148					120.38876343	Well_6
5335.4148					120.38290405	Well_6
5335.6148					120.35076141	Well_6
5335.8148					120.12328339	Well_6
5336.0148					119.54662323	Well_6
5336.2148					119.37709808	Well_6
5336.4148					119.60375214	Well_6
5336.6148					120.01615906	Well_6
5336.8148					120.07646942	Well_6
5337.0148					119.87785339	Well_6
5337.2148					119.75558472	Well_6
5337.4148					119.79972839	Well_6
5337.6148					119.80097961	Well_6
5337.8148					119.87535858	Well_6
5338.0148					119.73672485	Well_6
5338.2148					119.42811584	Well_6
5338.4148					119.43538666	Well_6
5338.6148					120.02998352	Well_6
5338.8148					120.98859406	Well_6
5339.0148					122.08544159	Well_6
5339.2148					122.39024353	Well_6
5339.4148					121.87947845	Well_6
5339.6148					121.03094482	Well_6
5339.8148					120.36656952	Well_6
5340.0148					119.81180573	Well_6
5340.2148					119.39482117	Well_6
5340.4148					119.32023621	Well_6
5340.6148					119.53466797	Well_6
5340.8148					119.72460938	Well_6
5341.0148					119.64080048	Well_6
5341.2148					119.36530304	Well_6
5341.4148					119.26960754	Well_6
5341.6148					119.35452271	Well_6
5341.8148					119.51058197	Well_6
5342.0148					119.63259125	Well_6
5342.2148					119.67613983	Well_6
5342.4148					119.66392517	Well_6
5342.6148					119.71369934	Well_6
5342.8148					119.93049622	Well_6
5343.0148					120.35601807	Well_6
5343.2148					120.6490097	Well_6
5343.4148					120.59672546	Well_6
5343.6148					120.2525177	Well_6
5343.8148					119.80084229	Well_6
5344.0148					119.43700409	Well_6
5344.2148					119.39997864	Well_6
5344.4148					119.75259399	Well_6
5344.6148					120.24679565	Well_6
5344.8148					120.7443161	Well_6
5345.0148					121.19434357	Well_6
5345.2148					121.32591248	Well_6
5345.4148					121.16130829	Well_6
5345.6148					120.95401764	Well_6
5345.8148					120.54624176	Well_6
5346.0148					120.12078857	Well_6
5346.2148					119.90655518	Well_6
5346.4148					119.74816895	Well_6
5346.6148					119.57062531	Well_6
5346.8148					119.4496994	Well_6
5347.0148					119.52482605	Well_6
5347.2148					119.67420197	Well_6
5347.4148					119.71074677	Well_6
5347.6148					119.58452606	Well_6
5347.8148					119.47058868	Well_6
5348.0148					119.34611511	Well_6
5348.2148					119.15796661	Well_6
5348.4148					119.07904816	Well_6
5348.6148					119.09780884	Well_6
5348.8148					119.55930328	Well_6
5349.0148					120.41901398	Well_6
5349.2148					120.90441132	Well_6
5349.4148					120.76692963	Well_6
5349.6148					120.16947174	Well_6
5349.8148					119.60108948	Well_6
5350.0148					119.36180878	Well_6
5350.2148					119.19548798	Well_6
5350.4148					119.02275085	Well_6
5350.6148					119.12282562	Well_6
5350.8148					119.43271637	Well_6
5351.0148					119.76989746	Well_6
5351.2148					119.9914093	Well_6
5351.4148					119.83950806	Well_6
