MD	PHIE	GR	RHOB	DTCO	DTS	WELL
3235.13403				67.001197815		Well_7
3235.33403				66.985389709		Well_7
3235.53403				67.434555054		Well_7
3235.73403				69.722122192		Well_7
3235.93403				70.884017944		Well_7
3236.13403				71.423782349		Well_7
3236.33403				71.722885132		Well_7
3236.53403				71.52305603		Well_7
3236.73403				71.036010742		Well_7
3236.93403				69.953529358		Well_7
3237.13403				68.229820251		Well_7
3237.33403				66.320831299	119.89207458	Well_7
3237.53403				66.172737122	119.09137726	Well_7
3237.73403				66.451179504	117.74594879	Well_7
3237.93403				66.519706726	117.11883545	Well_7
3238.13403				66.632743835	116.49178314	Well_7
3238.33403				67.10723877	115.51290894	Well_7
3238.53403				67.228218079	114.60945129	Well_7
3238.73403				67.151107788	113.98231506	Well_7
3238.93403				66.8959198	113.3552475	Well_7
3239.13403				66.545295715	114.77044678	Well_7
3239.33403				66.468780518	115.1001358	Well_7
3239.53403				66.695846558	115.26599121	Well_7
3239.73403				66.677490234	115.86211395	Well_7
3239.93403				66.446487427	116.25636292	Well_7
3240.13403				66.180397034	116.67909241	Well_7
3240.33403				66.343765259	116.46263123	Well_7
3240.53403				66.461898804	116.11666107	Well_7
3240.73403				65.960296631	115.44483948	Well_7
3240.93403				65.986106873	113.88439178	Well_7
3241.13403				66.911750793	116.77859497	Well_7
3241.33403				67.466178894	117.57692719	Well_7
3241.53403				67.923965454	117.81659698	Well_7
3241.73403				68.16443634	118.36877441	Well_7
3241.93403				68.08732605	118.28093719	Well_7
3242.13403				68.11580658	118.64779663	Well_7
3242.33403				67.728416443	122.17814636	Well_7
3242.53403				67.373130798	122.75455475	Well_7
3242.73403				66.980918884	122.90673065	Well_7
3242.93403				66.927711487	120.68829346	Well_7
3243.13403				66.986488342	117.88761902	Well_7
3243.33403				66.890693665	117.35387421	Well_7
3243.53403				66.615028381	117.0400238	Well_7
3243.73403				66.515007019	116.80032349	Well_7
3243.93403				66.507728577	117.0328598	Well_7
3244.13403				66.744064331	120.14657593	Well_7
3244.33403				66.966575623	119.99304199	Well_7
3244.53403				67.192489624	119.67555237	Well_7
3244.73403				67.091926575	119.63079071	Well_7
3244.93403				66.687095642	121.87772369	Well_7
3245.13403				66.407409668	122.15924072	Well_7
3245.33403				66.211868286	118.99510193	Well_7
3245.53403				66.280174255	118.71242523	Well_7
3245.73403				66.245903015	118.5912323	Well_7
3245.93403				66.375511169	118.82189178	Well_7
3246.13403				66.335830688	118.79244995	Well_7
3246.33403				66.225349426	117.18655396	Well_7
3246.53403				66.076408386	118.50905609	Well_7
3246.73403				65.675308228	121.52524567	Well_7
3246.93403				65.450424194	120.65683746	Well_7
3247.13403				65.175254822	119.24983978	Well_7
3247.33403				64.505523682	120.32527924	Well_7
3247.53403				64.808494568	120.40348053	Well_7
3247.73403				65.027709961	119.38182831	Well_7
3247.93403				66.327674866	124.8145752	Well_7
3248.13403				66.592674255	122.44228363	Well_7
3248.33403				66.320289612	122.89393616	Well_7
3248.53403				66.184921265	123.18533325	Well_7
3248.73403				65.999435425	122.60865784	Well_7
3248.93403				65.652076721	120.73719025	Well_7
3249.13403				64.942550659	121.6676712	Well_7
3249.33403				63.71559906	119.4105072	Well_7
3249.53403				62.916103363	117.79020691	Well_7
3249.73403				61.706115723	117.52820587	Well_7
3249.93403				61.149936676	114.69861603	Well_7
3250.13403				61.397563934	113.64871979	Well_7
3250.33403				60.900436401	115.81768036	Well_7
3250.53403				60.390258789	114.48387146	Well_7
3250.73403				59.291954041	109.31726837	Well_7
3250.93403				59.229164124	107.49035645	Well_7
3251.13403				59.015975952	107.18112946	Well_7
3251.33403				58.566482544	115.59406281	Well_7
3251.53403				58.386512756	112.34385681	Well_7
3251.73403				59.864429474	134.15899658	Well_7
3251.93403				60.410686493	164.34570313	Well_7
3252.13403				60.776172638	167.32919312	Well_7
3252.33403				62.436367035	167.77281189	Well_7
3252.53403				62.366195679	160.18540955	Well_7
3252.73403				62.361301422	142.98268127	Well_7
3252.93403				62.030921936	109.56435394	Well_7
3253.13403				61.92767334	106.76119995	Well_7
3253.33403				61.557777405	108.09496307	Well_7
3253.53403				61.18429184	111.3480835	Well_7
3253.73403				60.893531799	113.17768097	Well_7
3253.93403				59.90827179	113.17184448	Well_7
3254.13403				59.348773956	116.68122101	Well_7
3254.33403				59.084960938	117.57718658	Well_7
3254.53403				59.628635406	117.87076569	Well_7
3254.73403				62.215274811	117.756073	Well_7
3254.93403				63.273899078	118.3134613	Well_7
3255.13403				64.213951111	119.76173401	Well_7
3255.33403				64.490089417	119.30587006	Well_7
3255.53403				64.795860291	119.46148682	Well_7
3255.73403				65.231132507	120.120224	Well_7
3255.93403				65.530830383	120.15391541	Well_7
3256.13403				65.837638855	120.36523438	Well_7
3256.33403				65.994789124	120.19587708	Well_7
3256.53403				66.122993469	120.34003448	Well_7
3256.73403				66.222625732	120.46750641	Well_7
3256.93403				66.292388916	120.63591766	Well_7
3257.13403				66.387580872	120.71715546	Well_7
3257.33403				66.479499817	120.81575012	Well_7
3257.53403				66.536262512	120.83431244	Well_7
3257.73403				66.571723938	119.08190155	Well_7
3257.93403				66.592254639	119.09711456	Well_7
3258.13403				66.59197998	119.22711945	Well_7
3258.33403				66.557106018	119.13703156	Well_7
3258.53403				66.525985718	121.88900757	Well_7
3258.73403				66.512191772	122.32161713	Well_7
3258.93403				66.524452209	122.41188049	Well_7
3259.13403				66.542251587	122.62289429	Well_7
3259.33403				66.676673889	122.08257294	Well_7
3259.53403				66.634506226	121.99195099	Well_7
3259.73403				66.707069397	122.38230896	Well_7
3259.93403				67.317169189	123.37763214	Well_7
3260.13403				67.454078674	123.83253479	Well_7
3260.33403				67.529571533	123.87228394	Well_7
3260.53403				67.591362	123.93309021	Well_7
3260.73403				67.577507019	123.9593277	Well_7
3260.93403				67.571548462	123.78958893	Well_7
3261.13403				67.518173218	123.76988983	Well_7
3261.33403				67.423088074	123.72060394	Well_7
3261.53403				67.146720886	122.46167755	Well_7
3261.73403				66.937019348	122.18751526	Well_7
3261.93403				66.840690613	122.07431793	Well_7
3262.13403				66.654464722	121.90687561	Well_7
3262.33403				66.430915833	121.71595764	Well_7
3262.53403				66.424209595	121.63228607	Well_7
3262.73403				66.471153259	121.70142365	Well_7
3262.93403				66.510742188	121.69426727	Well_7
3263.13403				66.618370056	121.78948975	Well_7
3263.33403				66.701271057	122.12221527	Well_7
3263.53403				66.871688843	122.25457001	Well_7
3263.73403				66.98059082	122.41960907	Well_7
3263.93403				67.09551239	122.46653748	Well_7
3264.13403				67.161689758	122.56337738	Well_7
3264.33403				67.241279602	122.67156219	Well_7
3264.53403				67.307029724	122.74259186	Well_7
3264.73403				67.317611694	122.66810608	Well_7
3264.93403				67.246025085	122.56038666	Well_7
3265.13403				66.801277161	122.43640137	Well_7
3265.33403				66.574005127	121.99497223	Well_7
3265.53403				66.635490417	121.87218475	Well_7
3265.73403				66.694496155	121.79071045	Well_7
3265.93403				66.646232605	121.66178131	Well_7
3266.13403				66.518356323	121.61878967	Well_7
3266.33403				66.563903809	121.59951782	Well_7
3266.53403				66.691215515	121.82720184	Well_7
3266.73403				66.48147583	121.95933533	Well_7
3266.93403				66.637405396	121.9696579	Well_7
3267.13403				66.632125854	122.00933838	Well_7
3267.33403				66.714019775	122.18125916	Well_7
3267.53403				67.038543701	122.2401886	Well_7
3267.73403				67.074676514	122.36625671	Well_7
3267.93403				67.061096191	122.42984009	Well_7
3268.13403				67.042861938	122.40438843	Well_7
3268.33403				67.055053711	122.42266083	Well_7
3268.53403				67.049125671	122.34718323	Well_7
3268.73403				67.074523926	122.38952637	Well_7
3268.93403				67.072044373	122.43232727	Well_7
3269.13403				67.056480408	122.39134979	Well_7
3269.33403				67.041191101	122.37166595	Well_7
3269.53403				66.717079163	122.28851318	Well_7
3269.73403				66.697257996	121.89491272	Well_7
3269.93403				66.586891174	121.74047852	Well_7
3270.13403				66.488792419	121.56743622	Well_7
3270.33403				66.464645386	121.48348999	Well_7
