MD	DTCO	GR	RHOB	PHIE	PHI_ALT	DTS	WELL
5310.0732	66.801399231	7.0276999474		0.0	-0.397653908		Well_8
5310.2732	66.674385071	6.7277998924		0.0	-0.391874611		Well_8
5310.4732	66.358314514	7.1130876541		0.0	-0.395668536		Well_8
5310.6732	66.190727234	6.6800575256		0.0	-0.421746522		Well_8
5310.8732	66.15335083	5.358297348		0.0	-0.419264495		Well_8
5311.0732	66.206993103	5.6506156921		0.0	-0.405977845		Well_8
5311.2732	66.348564148	6.6098856926		0.0	-0.386734694		Well_8
5311.4732	66.392196655	7.8549528122		0.0	-0.371073604		Well_8
5311.6732	66.514305115	8.3430633545		0.0	-0.372221321		Well_8
5311.8732	66.748153687	8.2005157471		0.0	-0.370498478		Well_8
5312.0732	66.823226929	6.0487484932		0.0	-0.364883184		Well_8
5312.2732	66.608146667	6.1063818932		0.0	-0.369260788		Well_8
5312.4732	66.46321106	7.1732087135		0.0	-0.367835373		Well_8
5312.6732	66.58946991	7.9629116058		0.0	-0.355364114		Well_8
5312.8732	66.891532898	7.1436390877		0.0	-0.367314011		Well_8
5313.0732	66.96849823	6.5693697929		0.0	-0.368965745		Well_8
5313.2732	66.830566406	8.0423460007		0.0	-0.362811804		Well_8
5313.4732	66.548797607	7.7792220116		0.0	-0.367145211		Well_8
5313.6732	66.437454224	6.1527118683		0.0	-0.366687655		Well_8
5313.8732	66.317939758	5.08548069		0.0	-0.365022719		Well_8
5314.0732	66.320663452	5.7040328979		0.0	-0.367021739		Well_8
5314.2732	66.40322113	6.5075802803		0.0	-0.354922414		Well_8
5314.4732	66.45300293	6.5124044418		0.0	-0.33670643		Well_8
5314.6732	66.647621155	6.9470443726		0.0	-0.330010444		Well_8
5314.8732	66.799697876	7.5214653015		0.0	-0.334093779		Well_8
5315.0732	66.905036926	6.9052648544		0.0	-0.33343783		Well_8
5315.2732	66.956199646	6.7876348495		0.0	-0.350042075		Well_8
5315.4732	66.941955566	6.9809393883		0.0	-0.37194255		Well_8
5315.6732	66.902351379	7.4135756493		0.0	-0.362302214		Well_8
5315.8732	66.896903992	8.160987854		0.0	-0.335388958		Well_8
5316.0732	66.961807251	7.2740449905		0.0	-0.284337819		Well_8
5316.2732	67.136238098	6.7580866814		0.0	-0.281537741		Well_8
5316.4732	67.646682739	7.393901825		0.0	-0.331810683		Well_8
5316.6732	67.823814392	6.7715210915		0.0	-0.352884918		Well_8
5316.8732	67.541221619	6.7936038971		0.0	-0.360156983		Well_8
5317.0732	67.239379883	6.8366069794		0.0	-0.363729745		Well_8
5317.2732	67.088928223	7.4255394936		0.0	-0.35652706		Well_8
5317.4732	66.943161011	7.1783342361		0.0	-0.333683282		Well_8
5317.6732	67.00693512	7.6357588768		0.0	-0.302158952		Well_8
5317.8732	67.297897339	7.5142536163		0.0	-0.26728031		Well_8
5318.0732	67.159713745	6.6229367256		0.0	-0.252317667		Well_8
5318.2732	66.610847473	7.1213617325		0.0	-0.296549171		Well_8
5318.4732	66.378822327	7.5208935738		0.0	-0.339455068		Well_8
5318.6732	66.431861877	7.9742188454		0.0	-0.349827051		Well_8
5318.8732	66.597930908	8.3526954651		0.0	-0.357469916		Well_8
5319.0732	66.791603088	8.7025175095		0.0	-0.383021295		Well_8
5319.2732	67.001838684	8.2412576675		0.0	-0.380318135		Well_8
5319.4732	66.791137695	6.9514870644		0.0	-0.361858189		Well_8
5319.6732	66.715065002	6.3637928963		0.0	-0.353338301		Well_8
5319.8732	66.847419739	6.6638851166		0.0	-0.356400609		Well_8
5320.0732	66.861030579	7.1211543083		0.0	-0.348050922		Well_8
5320.2732	66.829231262	7.9233183861	0.0	0.0	-0.346780181		Well_8
5320.4732	66.789657593	8.4237213135	0.0	0.0	-0.348754197		Well_8
5320.6732	66.726669312	7.5672450066	0.0	0.0	-0.347645223		Well_8
5320.8732	66.686714172	7.7620797157	0.0	0.0	-0.352996618		Well_8
5321.0732	66.82346344	7.9691100121	0.0	0.0	-0.360123098		Well_8
5321.2732	66.783416748	7.2241120338	0.0	0.0	-0.366582602		Well_8
5321.4732	66.949012756	8.1315498352	0.0	0.0	-0.377706856		Well_8
5321.6732	66.994773865	7.361951828	0.0	0.0	-0.379039615		Well_8
5321.8732	67.031776428	6.956325531	0.0	0.0	-0.375095785		Well_8
5322.0732	67.055213928	7.334066391	0.0	0.0	-0.380335063		Well_8
5322.2732	66.185264587	7.2328257561	0.0	0.0	-0.384444147		Well_8
5322.4732	62.346393585	8.0707569122	0.0	0.0	-0.403983057		Well_8
5322.6732	59.656562805	8.5346908569	0.0	0.0	-0.404011667		Well_8
5322.8732	53.860488892	8.2052221298	0.0	0.0	-0.387113392		Well_8
5323.0732	51.194129944	6.6751570702	0.0	0.0	-0.307013899		Well_8
5323.2732	50.545463562	7.3000330925	0.0	0.0	-0.188190475		Well_8
5323.4732	51.019123077	8.7691106796	0.0	0.0	-0.07686349		Well_8
5323.6732	51.30329895	7.7087545395	0.0	0.0	-0.053291138		Well_8
5323.8732	51.210796356	6.9317994118	0.0	0.0	-0.080767468		Well_8
5324.0732	51.340888977	6.9734692574	0.0	0.0	-0.110232636		Well_8
5324.2732	51.503551483	8.2595930099	0.0	0.0	-0.126821354		Well_8
5324.4732	52.777797699	9.1393566132	0.0	0.0	-0.122563131		Well_8
5324.6732	53.447360992	8.2252407074	0.0	0.0	-0.112813175		Well_8
5324.8732	55.222576141	7.5236458778	0.0	0.0	-0.11004594		Well_8
5325.0732	56.642086029	8.7377357483	0.0	0.0	-0.126514509		Well_8
5325.2732	57.338874817	10.461620331	0.0	0.0	-0.174810231		Well_8
5325.4732	57.593097687	11.611568451	0.0	0.0	-0.216579288		Well_8
5325.6732	57.406959534	13.760779381	0.0	0.0	-0.231041178		Well_8
5325.8732	56.802703857	35.953170776	0.0	0.0	-0.245757371		Well_8
5326.0732	56.669200897	178.70663452	0.0	0.0	-0.232219547		Well_8
5326.2732	56.32566452	374.67001343	0.0	0.0	-0.220879719		Well_8
5326.4732	56.150398254	221.9402771	0.0	0.0	-0.233908623		Well_8
5326.6732	55.915641785	33.994483948	0.0	0.0	-0.249622896		Well_8
5326.8732	55.624099731	12.712430954	2.2526557446	0.0	-0.248421252		Well_8
5327.0732	55.650047302	12.837150574	2.7255294323	0.0	-0.253736019		Well_8
5327.2732	56.333683014	12.14026165	2.3308489323	0.0	-0.243835345		Well_8
5327.4732	58.295814514	11.565069199	2.227088213	0.0	-0.222554997		Well_8
