MD	GR	DTCO	PHIE	RHOB	DTS	WELL
5209.794	9.5071001053	52.374599457		1.9733999968		Well_9
5209.994	9.319770813	52.571228027		2.009809494		Well_9
5210.194	9.043088913	53.180156708		2.0110435486		Well_9
5210.394	8.9319400787	54.871879578		1.9763644934		Well_9
5210.594	8.2435436249	58.550361633		1.9554430246		Well_9
5210.794	7.9989833832	61.244911194		1.8971674442		Well_9
5210.994	7.9912638664	62.879840851		1.8077551126		Well_9
5211.194	6.9503831863	63.378669739		1.7606669664		Well_9
5211.394	6.420779705	62.153839111		1.7575881481		Well_9
5211.594	7.1420822144	61.094013214		1.7844842672		Well_9
5211.794	7.4178271294	61.718315125		1.8185828924		Well_9
5211.994	7.3180847168	63.605289459		1.8251293898		Well_9
5212.194	7.7169380188	65.78918457		1.7986110449		Well_9
5212.394	7.832242012	68.100036621		1.7611625195		Well_9
5212.594	7.5481600761	69.829742432		1.7899992466		Well_9
5212.794	7.6457505226	69.921447754		1.8126181364		Well_9
5212.994	7.4770364761	69.004135132		1.8057204485		Well_9
5213.194	8.0551977158	67.505973816		1.7955861092		Well_9
5213.394	8.7487621307	65.953811646		1.7827881575		Well_9
5213.594	8.5478115082	64.981941223		1.7766033411		Well_9
5213.794	8.8390579224	64.758384705		1.7794246674		Well_9
5213.994	9.1551494598	65.262557983		1.7736299038		Well_9
5214.194	9.1808013916	65.73425293		1.7598503828		Well_9
5214.394	8.5539751053	65.66027832		1.7555451393		Well_9
5214.594	7.9950203896	65.371780396		1.7673858404		Well_9
5214.794	7.6895956993	65.265846252		1.7879685163		Well_9
5214.994	7.9287962914	65.067626953		1.7805763483		Well_9
5215.194	7.5948095322	64.989715576		1.7485252619		Well_9
5215.394	6.8543243408	65.006576538		1.7364799976		Well_9
5215.594	7.5228624344	65.172836304		1.7479082346		Well_9
5215.794	8.6358623505	65.365081787		1.754571557		Well_9
5215.994	8.7449903488	65.385406494		1.7444299459		Well_9
5216.194	8.540687561	65.280815125		1.7362251282		Well_9
5216.394	7.8749551773	65.052085876		1.7291535139		Well_9
5216.594	7.6830716133	64.892211914		1.7120280266		Well_9
5216.794	7.536863327	64.835479736		1.6989663839		Well_9
5216.994	7.1735272408	64.787506104		1.6986582279		Well_9
5217.194	7.2414569855	65.155021667		1.7165480852		Well_9
5217.394	7.3194665909	65.589385986		1.7300813198		Well_9
5217.594	7.2498064041	65.74508667		1.7443984747		Well_9
5217.794	7.8719859123	65.590652466		1.7633107901		Well_9
5217.994	7.9019317627	65.365791321		1.7793052197		Well_9
5218.194	7.5305638313	65.258735657		1.7763566971		Well_9
5218.394	7.3957586288	65.277931213		1.7753992081		Well_9
5218.594	7.4121809006	65.226852417		1.7792770863		Well_9
5218.794	8.0523433685	65.235336304		1.7622030973		Well_9
5218.994	8.1416501999	65.360671997		1.7358671427		Well_9
5219.194	7.7514629364	65.211807251		1.7098480463		Well_9
5219.394	7.222340107	65.209091187		1.7037991285		Well_9
5219.594	7.2457947731	65.535774231		1.7052425146		Well_9
5219.794	8.236989975	65.797386169		1.7003868818		Well_9
5219.994	8.1782588959	65.810714722		1.7100126743		Well_9
5220.194	7.9054961205	65.690338135		1.7159380913		Well_9
5220.394	7.5633745193	65.559562683		1.7150063515		Well_9
5220.594	7.0342774391	65.501701355		1.7096755505		Well_9
5220.794	7.0941929817	65.880226135		1.697529912		Well_9
5220.994	6.6733880043	66.167938232		1.6812827587		Well_9
5221.194	6.2449331284	66.242256165		1.6798323393		Well_9
5221.394	6.888399601	65.256401062		1.7206249237		Well_9
5221.594	7.2583007813	63.532157898		1.7975099087		Well_9
5221.794	6.8359613419	60.228282928		1.9045550823		Well_9
5221.994	6.7725377083	55.445926666		2.0552411079		Well_9
5222.194	6.5183959007	51.960830688		2.1457612514		Well_9
5222.394	6.159412384	51.431697845		2.1640031338		Well_9
5222.594	6.4893941879	52.171405792		2.1619231701		Well_9
5222.794	7.5443696976	53.822711945		2.1341040134		Well_9
5222.994	8.1711711884	56.232707977		2.08898592		Well_9
5223.194	8.6255607605	57.640838623		2.0931608677		Well_9
5223.394	8.7322206497	55.686214447		2.1108281612		Well_9
5223.594	8.6746301651	53.619022369		2.1018071175		Well_9
5223.794	9.8496847153	52.652488708		2.1000952721		Well_9
5223.994	11.890696526	53.614006042		2.0706298351		Well_9
5224.194	12.641711235	55.154060364		2.0506472588		Well_9
5224.394	11.955925941	56.269966125		2.0643060207		Well_9
5224.594	10.997894287	57.018817902		2.0793912411		Well_9
5224.794	9.8826570511	58.541343689		2.1467897892		Well_9
5224.994	8.4379472733	65.31362915		2.198900938		Well_9
5225.194	9.5952978134			2.3048040867		Well_9
5225.394	11.8623209			2.3815510273		Well_9
5225.594	13.894524574		0.1886258423	2.3548514843		Well_9
5225.794	16.569446564		0.2087343931	2.3149752617	132.76660156	Well_9
5225.994	18.341083527	72.958000183	0.1939727515	2.3346424103	133.58180237	Well_9
5226.194	21.807483673	75.950141907	0.1809271127	2.363380909	133.84249878	Well_9
5226.394	25.519882202	77.881835938	0.1906519979	2.3490080833	133.40899658	Well_9
5226.594	27.018787384	77.905471802	0.1921029985	2.3423566818	134.16949463	Well_9
5226.794	27.00110817	76.255065918	0.1808526367	2.3616001606	134.70799255	Well_9
5226.994	25.992132187	73.392021179	0.1620068848	2.3959519863	133.50140381	Well_9
5227.194	24.540014267	70.525772095	0.1562617272	2.4118330479	130.53489685	Well_9
5227.394	24.079393387	69.283546448	0.1835702062	2.3667764664	126.75479889	Well_9
5227.594	24.533966064	69.467971802	0.2198980004	2.2972900867	122.14230347	Well_9
5227.794	25.082180023	71.205680847	0.2275354117	2.2742621899	120.61070251	Well_9
5227.994	23.943710327	73.580032349	0.199802205	2.3214299679	122.47059631	Well_9
5228.194	21.063316345	75.345611572	0.1765550673	2.3692305088	126.01709747	Well_9
5228.394	20.80673027	76.699790955	0.1753798276	2.3763251305	130.41279602	Well_9
5228.594	22.217359543	77.925949097	0.1894407719	2.3516025543	132.4019928	Well_9
5228.794	21.694980621	78.587501526	0.2027060539	2.3249180317	133.3170929	Well_9
5228.994	21.039403915	78.562767029	0.1992424726	2.3269851208	134.96859741	Well_9
5229.194	22.764930725	78.49886322	0.1928275079	2.3408372402	136.9763031	Well_9
5229.394	26.460590363	78.254196167	0.1989256293	2.3322050571	138.77349854	Well_9
5229.594	28.082942963	77.7449646	0.2124297917	2.3072297573	139.93179321	Well_9
5229.794	29.119661331	75.814491272	0.208192572	2.309977293	140.57969666	Well_9
5229.994	33.714580536	72.599113464	0.1848540008	2.3514270782	139.63070679	Well_9
5230.194	38.542385101	67.99105072	0.1650023758	2.3915014267	137.30479431	Well_9
5230.394	39.542575836	64.405860901	0.1486223936	2.4224786758	132.87139893	Well_9
5230.594	32.392456055	62.778793335	0.1241417229	2.4669857025	128.60569763	Well_9
5230.794	22.427204132	63.819766998	0.1135983393	2.492916584	126.67590332	Well_9
5230.994	20.031454086	69.862640381	0.1442198753	2.4466905594	125.26760101	Well_9
5231.194	22.3634758	75.910896301	0.1919659078	2.3562810421	127.30719757	Well_9
5231.394	23.053216934	78.199661255	0.2133615613	2.3057432175	130.24729919	Well_9
5231.594	23.861040115	79.168159485	0.2150834203	2.2985918522	134.92550659	Well_9
5231.794	24.712118149	78.41103363	0.2123470157	2.3035566807	138.01719666	Well_9
5231.994	23.872653961	75.69317627	0.2124362588	2.3044307232	139.33790588	Well_9
5232.194	23.505004883	74.120780945	0.2097863555	2.3072412014	140.35400391	Well_9
